,precision,recall,f1-score,support
BARBUNYA,0.7338709677419355,0.6715867158671587,0.7013487475915221,271.0
BOMBAY,1.0,1.0,1.0,111.0
CALI,0.7407407407407407,0.8,0.7692307692307693,325.0
DERMASON,0.8947368421052632,0.8610709117221418,0.8775811209439528,691.0
HOROZ,0.8759493670886076,0.8606965174129353,0.8682559598494354,402.0
SEKER,0.85,0.8133971291866029,0.8312958435207825,418.0
SIRA,0.781305114638448,0.8535645472061657,0.8158379373848987,519.0
accuracy,0.8319327731092437,0.8319327731092437,0.8319327731092437,0.8319327731092437
macro avg,0.839514718902142,0.8371879744850007,0.83765005407448,2737.0
weighted avg,0.8336908772234259,0.8319327731092437,0.8320842210900607,2737.0
