,precision,recall,f1-score,support
BARBUNYA,0.9433962264150944,0.922509225092251,0.9328358208955224,271.0
BOMBAY,1.0,1.0,1.0,111.0
CALI,0.9186746987951807,0.9384615384615385,0.928462709284627,325.0
DERMASON,0.9158200290275762,0.9131693198263386,0.9144927536231884,691.0
HOROZ,0.9696202531645569,0.9527363184079602,0.9611041405269761,402.0
SEKER,0.9519230769230769,0.9473684210526315,0.9496402877697842,418.0
SIRA,0.8714555765595463,0.8882466281310212,0.8797709923664122,519.0
accuracy,0.9269272926561929,0.9269272926561929,0.9269272926561929,0.9269272926561929
macro avg,0.9386985515550045,0.9374987787102488,0.9380438149237873,2737.0
weighted avg,0.9273065132208191,0.9269272926561929,0.9270654112355118,2737.0
