,precision,recall,f1-score,support
BARBUNYA,0.9138576779026217,0.9003690036900369,0.9070631970260223,271.0
BOMBAY,1.0,0.990990990990991,0.995475113122172,111.0
CALI,0.9314641744548287,0.92,0.9256965944272446,325.0
DERMASON,0.9238805970149254,0.8958031837916064,0.9096252755326966,691.0
HOROZ,0.9715762273901809,0.9353233830845771,0.9531051964512041,402.0
SEKER,0.9556650246305419,0.9282296650717703,0.941747572815534,418.0
SIRA,0.8142361111111112,0.9036608863198459,0.85662100456621,519.0
accuracy,0.9152356594811838,0.9152356594811838,0.9152356594811838,0.9152356594811838
macro avg,0.9300971160720299,0.9249110161355468,0.927047707705869,2737.0
weighted avg,0.9179440794007414,0.9152356594811838,0.9160027030736944,2737.0
