,precision,recall,f1-score,support
BARBUNYA,0.9356060606060606,0.9114391143911439,0.9233644859813084,271.0
BOMBAY,1.0,1.0,1.0,111.0
CALI,0.9316770186335404,0.9230769230769231,0.9273570324574961,325.0
DERMASON,0.9087018544935807,0.9218523878437048,0.9152298850574713,691.0
HOROZ,0.9621212121212122,0.9477611940298507,0.9548872180451128,402.0
SEKER,0.9360189573459715,0.9449760765550239,0.9404761904761905,418.0
SIRA,0.8733205374280231,0.8766859344894027,0.875,519.0
accuracy,0.9229082937522836,0.9229082937522836,0.9229082937522836,0.9229082937522836
macro avg,0.9353493772326268,0.932255947198007,0.9337592588596542,2737.0
weighted avg,0.9231053216308711,0.9229082937522836,0.922965060685976,2737.0
