,precision,recall,f1-score,support
BARBUNYA,0.9333333333333333,0.9298892988929889,0.9316081330868762,271.0
BOMBAY,1.0,1.0,1.0,111.0
CALI,0.9380804953560371,0.9323076923076923,0.9351851851851852,325.0
DERMASON,0.9081779053084649,0.9160636758321273,0.9121037463976945,691.0
HOROZ,0.9720812182741116,0.9527363184079602,0.9623115577889447,402.0
SEKER,0.9516908212560387,0.9425837320574163,0.9471153846153846,418.0
SIRA,0.8693181818181818,0.884393063583815,0.8767908309455588,519.0
accuracy,0.9261965655827549,0.9261965655827549,0.9261965655827549,0.9261965655827549
macro avg,0.9389545650494524,0.9368533972974286,0.9378735482885207,2737.0
weighted avg,0.9266057640800323,0.9261965655827549,0.926365581393375,2737.0
