model_key,model,train_accuracy,train_macro_f1,train_macro_precision,train_macro_recall,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,accuracy_gap,macro_f1_gap,train_seconds,inference_seconds,inference_ms_per_sample,model_size_mb,engineered_features
logistic_regression,逻辑回归,0.916763127433442,0.9297919705022447,0.9337148920054438,0.9265618430967486,0.917427840701498,0.9294153257777164,0.9334443073140294,0.9264178502739526,-0.0006647132680559498,0.0003766447245283633,3.2035958000051323,0.0012064500042470172,0.0004407928404263855,0.007653236389160156,False
knn,KNN,1.0,1.0,1.0,1.0,0.9232736572890026,0.9340928599205975,0.9362268230502292,0.9323442381398731,0.07672634271099743,0.06590714007940246,0.0024957999994512647,0.0336819000003743,0.012306138107553636,1.2389764785766602,False
random_forest,随机森林,1.0,1.0,1.0,1.0,0.9218122031421264,0.9322545957961097,0.9338665639166478,0.9307262509259806,0.07818779685787358,0.0677454042038903,1.0756356999918353,0.09600299999874551,0.03507599561517921,30.611217498779297,False
xgboost,XGBoost,0.9862148795117331,0.9901066259901808,0.9908650398991066,0.9893902161522805,0.9251004749725977,0.9365340735832065,0.9374996701382772,0.9356216433695678,0.061114404539135414,0.05357255240697434,3.665124899998773,0.009901350007567089,0.00361759225705776,3.0840654373168945,False
handmade_gnb,手写高斯朴素贝叶斯,0.7618646743133747,0.7641852062632264,0.76892385939331,0.7649605911499117,0.7555717939349653,0.7584887061415442,0.76114153583436,0.7582958635146196,0.00629288037840936,0.005696500121682213,0.004215900000417605,0.0014562500000465661,0.0005320606503641089,0.006539344787597656,False
logistic_regression,逻辑回归,0.9189729559086605,0.931290668324384,0.9353860924491478,0.9278606983357609,0.9152356594811838,0.927047707705869,0.9300971160720299,0.9249110161355468,0.0037372964274766662,0.004242960618515035,3.2800761999969836,0.0009688999998616055,0.00035400073067650914,0.008690834045410156,True
knn,KNN,1.0,1.0,1.0,1.0,0.9269272926561929,0.9380438149237873,0.9386985515550045,0.9374987787102488,0.07307270734380711,0.0619561850762127,0.003434799989918247,0.0340111000041361,0.012426415785215965,1.5298242568969727,True
random_forest,随机森林,1.0,1.0,1.0,1.0,0.9229082937522836,0.9337592588596542,0.9353493772326268,0.932255947198007,0.07709170624771644,0.06624074114034584,1.033131800009869,0.09359185000357684,0.0341950493253843,30.295299530029297,True
xgboost,XGBoost,0.9867410291486899,0.990504785402975,0.9912737076081175,0.9897739183153996,0.9261965655827549,0.9378735482885207,0.9389545650494524,0.9368533972974286,0.060544463565935014,0.05263123711445439,3.336967300012475,0.011978399998042732,0.00437647058752018,3.094548225402832,True
handmade_gnb,手写高斯朴素贝叶斯,0.8314216563190572,0.8354792076706452,0.8388390980920223,0.8350652424743845,0.8319327731092437,0.83765005407448,0.839514718902142,0.8371879744850007,-0.000511116790186561,-0.002170846403834803,0.005404800001997501,0.0013654000067617744,0.0004988673755066768,0.007576942443847656,True
