feature,importance
Compactness,0.18014792
ShapeFactor3,0.13799645
ConvexArea,0.12420568
EquivDiameter,0.11523486
Area,0.107670166
MajorAxisLength,0.0705821
ShapeFactor1,0.06800101
MinorAxisLength,0.032397613
AspectRation,0.024068443
ShapeFactor2,0.022826983
ConvexGap,0.020990375
roundness,0.019124106
Perimeter,0.016306395
AxisLengthDiff,0.015887586
ShapeFactor4,0.0120997
PerimeterDiameterRatio,0.008497238
AreaConvexRatio,0.008153172
Eccentricity,0.007784705
Extent,0.004020716
Solidity,0.004004815
